year,state,name,FiscalYear, Total Taxes , Property Tax (T01) , Tot Sales & Gr Rec Tax , Total Gen Sales Tax (T09) , Total Select Sales Tax , Alcoholic Beverage Tax (T10) , Amusement Tax (T11) , Insurance Premium Tax (T12) , Motor Fuels Tax (T13) , Parimutuels Tax (T14) , Public Utility Tax (T15) , Tobacco Tax (T16) , Other Select Sales Tax (T19) , Total License Taxes , Alcoholic Beverage Lic (T20) , Amusement License (T21) , Corporation License (T22) , Hunt and Fish License (T23) , Motor Veh & Oper Lic , Motor Vehicle License (T24) , Motor Veh Oper License (T25) , Public Utility License (T27) , Occup and Bus Lic NEC (T28) , Other License Taxes (T29) , Total Income Taxes , Individual Income Tax (T40) , Corp Net Income Tax (T41) , Total Other Taxes , Death and Gift Tax (T50) , Docum and Stock Tr Tax (T51) , Severance Tax (T53) , Taxes NEC (T99) 
2017,47,TN STATE GOVT,63017,"13,893,728",X,"10,010,965","7,260,193","2,750,772","187,125",X,"912,324","915,858",X,"7,398","256,762","471,305","1,635,495","1,644",240,"871,205","37,869","367,315","306,047","61,268","5,087","343,298","8,837","1,976,200","249,977","1,726,223","271,068","14,904","236,169","1,261","18,734"
2017,48,TX STATE GOVT,83117,"53,612,926",X,"46,897,352","32,490,144","14,407,208","1,228,641","29,745","2,325,941","3,585,179","6,321","614,565","1,467,486","5,149,330","3,432,901","68,608","18,492","140,776","103,550","2,377,905","2,237,042","140,863","21,556","537,912","164,102",X,X,X,"3,282,673",X,X,"3,282,673",0
2017,49,UT STATE GOVT,63017,"7,832,889",X,"3,530,809","2,533,961","996,848","50,002",X,"130,122","487,731",X,"24,351","116,158","188,484","321,715","5,900",X,466,"30,622","220,582","203,980","16,602",X,"55,350","8,795","3,950,776","3,621,199","329,577","29,589",X,X,"29,589",0
2017,50,VT STATE GOVT,63017,"3,127,523","1,056,635","1,058,569","375,870","682,699","26,028",X,"59,895","81,020",X,"8,589","76,686","430,481","127,049",485,26,"3,894","7,394","85,819","76,905","8,914",X,"25,169","4,262","825,025","743,630","81,395","60,245","16,670","38,857",X,"4,718"
2017,51,VA STATE GOVT,63017,"22,213,025","31,232","6,916,097","3,970,133","2,945,964","224,426",84,"479,192","997,561",X,"118,088","171,198","955,415","856,649","14,115",104,"62,961","28,762","522,332","481,146","41,186",X,"223,721","4,654","13,879,848","13,052,887","826,961","529,199","8,202","385,278","2,583","133,136"
2017,53,WA STATE GOVT,63017,"23,997,592","2,097,507","19,170,768","14,509,841","4,660,927","354,939",X,"603,963","1,812,646","1,805","504,117","430,022","953,435","1,453,628","150,772",0,"39,776","41,287","672,470","551,517","120,953","22,401","357,846","169,076",X,X,X,"1,275,689","167,972","1,072,649","35,055",13
2017,54,WV STATE GOVT,63017,"5,092,275","7,248","2,672,887","1,334,168","1,338,719","17,782","38,958","120,163","383,874","2,611","107,719","194,647","472,965","148,951","1,038","3,432",632,"11,691","118,334","4,329","114,005",406,"9,761","3,657","1,930,171","1,813,866","116,305","333,018",X,"11,987","321,031",0
2017,55,WI STATE GOVT,63017,"18,133,496","132,022","7,972,959","5,223,935","2,749,024","61,203",227,"202,387","1,044,996",131,"357,757","644,478","437,845","1,179,054","1,902",467,"22,546","67,571","536,348","496,295","40,053","83,830","465,569",821,"8,752,242","7,792,543","959,699","97,219","1,733","70,786","10,151","14,549"
2017,56,WY STATE GOVT,63017,"1,649,550","274,005","762,588","588,866","173,722","1,878",X,"24,762","114,140","3,191","3,999","22,683","3,069","161,973",X,X,"13,949","34,543","73,975","71,657","2,318",X,"39,506",0,X,X,X,"450,984",1,X,"446,410","4,573"
2016,0,US STATE GOVTS,N/A,"922,619,448","15,888,916","439,613,104","291,263,424","148,349,680","6,612,885","7,588,887","20,340,504","43,729,483","123,176","13,106,024","17,982,788","38,865,933","53,737,824","630,176","549,326","5,584,467","1,595,151","28,109,048","25,517,021","2,592,027","1,249,473","14,653,040","1,367,143","389,361,951","343,036,972","46,324,979","24,017,653","5,080,060","8,725,381","7,649,666","2,562,546"
2016,1,AL STATE GOVT,93016,"10,022,951","352,378","5,106,102","2,596,223","2,509,879","210,535",6,"317,657","526,763","1,401","695,626","180,301","577,590","507,479","4,224",X,"162,117","22,931","247,514","213,550","33,964","14,443","56,250",0,"3,966,640","3,492,904","473,736","90,352",X,"43,730","46,622",0
2016,2,AK STATE GOVT,63016,"897,369","111,736","260,846",X,"260,846","42,430","10,306","64,400","48,773",X,"4,027","67,918","22,992","120,529","1,919",0,X,"29,500","38,000","38,000",0,838,"46,957","3,315","67,457",X,"67,457","336,801",X,X,"336,801",0
2016,4,AZ STATE GOVT,63016,"13,680,421","943,008","8,315,805","6,300,443","2,015,362","72,281",X,"545,124","898,234",160,"22,337","317,331","159,895","482,362","7,416",X,"18,342","35,059","260,343","228,970","31,373",X,"159,454","1,748","3,906,722","3,336,174","570,548","32,524",X,"17,328","15,196",0
2016,5,AR STATE GOVT,63016,"9,430,833","1,097,908","4,590,072","3,314,363","1,275,709","55,164","56,031","192,020","479,879","2,616",X,"230,527","259,472","396,891","4,624",473,"26,703","26,579","184,848","163,023","21,825","8,351","143,422","1,891","3,231,617","2,781,458","450,159","114,345",3,"38,844","48,340","27,158"
